Crop // Variety,Block,Bed,Plan Field Year,Plan Field Week,Actual Field Week,Actual Field Date,Actual Bedft,Notes,Finished Harvesting
Scallion // Parade,C3,5,2026,18,,,,,FALSE
Arugula // Astro,D1,4,2026,19,,,,,FALSE
Bean Snap TP // Nor'easter,HT4,6,2026,19,,,,,FALSE
Bean Snap TP // Nor'easter,HT4,8,2026,19,,,,,FALSE
Buckwheat // Standard,C3,15,2026,19,,,,,FALSE
Buckwheat // Standard,C3,16,2026,19,,,,,FALSE
Buckwheat // Standard,C3,17,2026,19,,,,,FALSE
Buckwheat // Standard,C3,18,2026,19,,,,,FALSE
Buckwheat // Standard,C3,19,2026,19,,,,,FALSE
Buckwheat // Standard,C3,20,2026,19,,,,,FALSE
Buckwheat // Standard,C3,21,2026,19,,,,,FALSE
Buckwheat // Standard,C3,22,2026,19,,,,,FALSE
Buckwheat // Standard,C3,23,2026,19,,,,,FALSE
Buckwheat // Standard,C3,24,2026,19,,,,,FALSE
Buckwheat // Standard,C3,25,2026,19,,,,,FALSE
Buckwheat // Standard,C3,26,2026,19,,,,,FALSE
Buckwheat // Standard,C3,27,2026,19,,,,,FALSE
Buckwheat // Standard,C3,28,2026,19,,,,,FALSE
Buckwheat // Standard,C3,29,2026,19,,,,,FALSE
Buckwheat // Standard,C3,30,2026,19,,,,,FALSE
Buckwheat // Standard,D1,15,2026,19,,,,,FALSE
Buckwheat // Standard,D1,16,2026,19,,,,,FALSE
Buckwheat // Standard,D1,17,2026,19,,,,,FALSE
Buckwheat // Standard,D1,18,2026,19,,,,,FALSE
Buckwheat // Standard,D1,19,2026,19,,,,,FALSE
Buckwheat // Standard,D1,20,2026,19,,,,,FALSE
Buckwheat // Standard,D1,21,2026,19,,,,,FALSE
Buckwheat // Standard,D1,22,2026,19,,,,,FALSE
Buckwheat // Standard,D1,23,2026,19,,,,,FALSE
Buckwheat // Standard,D1,24,2026,19,,,,,FALSE
Buckwheat // Standard,D1,25,2026,19,,,,,FALSE
Buckwheat // Standard,D1,26,2026,19,,,,,FALSE
Buckwheat // Standard,D1,27,2026,19,,,,,FALSE
Buckwheat // Standard,D1,28,2026,19,,,,,FALSE
Buckwheat // Standard,D1,29,2026,19,,,,,FALSE
Buckwheat // Standard,D1,30,2026,19,,,,,FALSE
Buckwheat // Standard,D2,7,2026,19,,,,,FALSE
Buckwheat // Standard,D2,8,2026,19,,,,,FALSE
Buckwheat // Standard,D2,9,2026,19,,,,,FALSE
Buckwheat // Standard,D2,10,2026,19,,,,,FALSE
Buckwheat // Standard,D2,11,2026,19,,,,,FALSE
Buckwheat // Standard,D2,12,2026,19,,,,,FALSE
Buckwheat // Standard,D2,13,2026,19,,,,,FALSE
Buckwheat // Standard,D2,14,2026,19,,,,,FALSE
Buckwheat // Standard,D2,15,2026,19,,,,,FALSE
Buckwheat // Standard,D2,16,2026,19,,,,,FALSE
Buckwheat // Standard,D2,17,2026,19,,,,,FALSE
Buckwheat // Standard,D2,18,2026,19,,,,,FALSE
Buckwheat // Standard,D2,19,2026,19,,,,,FALSE
Buckwheat // Standard,D2,20,2026,19,,,,,FALSE
Buckwheat // Standard,D2,21,2026,19,,,,,FALSE
Buckwheat // Standard,D2,22,2026,19,,,,,FALSE
Buckwheat // Standard,D2,23,2026,19,,,,,FALSE
Buckwheat // Standard,D2,24,2026,19,,,,,FALSE
Buckwheat // Standard,D2,25,2026,19,,,,,FALSE
Buckwheat // Standard,D2,26,2026,19,,,,,FALSE
Buckwheat // Standard,D2,27,2026,19,,,,,FALSE
Buckwheat // Standard,D2,28,2026,19,,,,,FALSE
Buckwheat // Standard,D2,29,2026,19,,,,,FALSE
Buckwheat // Standard,D2,30,2026,19,,,,,FALSE
Buckwheat // Standard,E1,1,2026,19,,,,,FALSE
Buckwheat // Standard,E1,2,2026,19,,,,,FALSE
Buckwheat // Standard,E1,3,2026,19,,,,,FALSE
Buckwheat // Standard,E1,4,2026,19,,,,,FALSE
Buckwheat // Standard,E1,5,2026,19,,,,,FALSE
Buckwheat // Standard,E1,6,2026,19,,,,,FALSE
Buckwheat // Standard,E1,7,2026,19,,,,,FALSE
Buckwheat // Standard,E1,8,2026,19,,,,,FALSE
Buckwheat // Standard,E1,9,2026,19,,,,,FALSE
Buckwheat // Standard,E1,10,2026,19,,,,,FALSE
Buckwheat // Standard,E1,11,2026,19,,,,,FALSE
Buckwheat // Standard,E1,12,2026,19,,,,,FALSE
Buckwheat // Standard,E1,13,2026,19,,,,,FALSE
Buckwheat // Standard,E1,14,2026,19,,,,,FALSE
Buckwheat // Standard,E1,15,2026,19,,,,,FALSE
Buckwheat // Standard,E1,16,2026,19,,,,,FALSE
Buckwheat // Standard,E1,17,2026,19,,,,,FALSE
Buckwheat // Standard,E1,18,2026,19,,,,,FALSE
Buckwheat // Standard,E1,19,2026,19,,,,,FALSE
Buckwheat // Standard,E1,20,2026,19,,,,,FALSE
Buckwheat // Standard,E1,21,2026,19,,,,,FALSE
Buckwheat // Standard,E1,22,2026,19,,,,,FALSE
Buckwheat // Standard,E1,23,2026,19,,,,,FALSE
Buckwheat // Standard,E1,24,2026,19,,,,,FALSE
Buckwheat // Standard,E1,25,2026,19,,,,,FALSE
Cabbage Cone // Caraflex,E2,16,2026,19,,,,,FALSE
Cabbage Cone // Caraflex,E2,17,2026,19,,,,,FALSE
Cabbage Cone // Caraflex,E2,18,2026,19,,,,,FALSE
Cabbage Red // Omero,E2,19,2026,19,,,,,FALSE
Cabbage Red // Omero,E2,20,2026,19,,,,,FALSE
Cabbage Red // Omero,X1,1,2026,19,,,,,FALSE
Cabbage Red // Omero,X1,2,2026,19,,,,,FALSE
Cabbage Red // Omero,X1,3,2026,19,,,,,FALSE
Cabbage Savoy // Alcosa,X1,4,2026,19,,,,,FALSE
Fennel // Orazio,B2,12,2026,19,,,,,FALSE
Greens Mix Baby Kale // Red Russian Kale,D1,4,2026,19,,,,,FALSE
Greens Mix Cheap Frills // Cheap Frills,D1,4,2026,19,,,,,FALSE
Greens Mix Rosie // Rosie,D1,5,2026,19,,,,,FALSE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,B2,13,2026,19,,,,,FALSE
Oats & Peas // Standard,A2,1,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,2,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,3,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,4,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,5,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,6,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,7,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,8,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,9,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,10,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,11,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,12,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,13,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,14,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,15,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,16,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,17,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A2,18,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,1,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,2,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,3,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,4,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,5,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,6,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,7,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,8,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,9,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,10,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,11,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,12,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,13,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,14,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,15,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,16,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,17,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,18,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,19,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,20,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,21,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,22,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,23,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,24,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,25,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,26,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,27,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,28,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,29,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,A3,30,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,1,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,2,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,3,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,4,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,5,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,6,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,7,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,8,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,9,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,10,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,11,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,12,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,13,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,14,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,15,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,16,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,17,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,18,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,19,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,20,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,21,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,22,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,23,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,24,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,25,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,26,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,B3,27,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,B3,28,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,B3,29,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,B3,30,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,C1,19,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,20,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,21,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,22,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,23,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,24,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,25,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,26,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,27,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,28,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,29,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C1,30,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,15,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,16,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,17,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,18,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,19,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,20,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,21,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,22,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,23,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,24,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,25,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,26,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,27,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,28,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,29,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,C2,30,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,1,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,X1,2,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,X1,3,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,X1,4,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,X1,5,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,X1,6,2026,19,1,2026-01-01,200,"Not seeded, mistaken entry in plan",FALSE
Oats & Peas // Standard,X1,7,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,8,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,9,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,10,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,11,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,12,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,13,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,14,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,15,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,16,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,17,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,18,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,19,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,20,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,21,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,22,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,23,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,24,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,25,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,26,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,27,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,28,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,29,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X1,30,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,1,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,2,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,3,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,4,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,5,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,6,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,7,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,8,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,9,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,10,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,11,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,12,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,13,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,14,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,15,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,16,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,17,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,18,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
Oats & Peas // Standard,X2,19,2026,19,17,2026-04-24,200,"Plate F, gear 4, used 100 lbs per block @ 50/50 oats & peas",FALSE
